"SAGDP1 Gross Domestic Product (GDP) summary, annual by state"
"Real Gross Domestic Product (GDP) (Percent change from preceding period)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018"
"33000","New Hampshire",6.6,2.8,6.9,1.3,2.8,4.4,3.1,1.4,2.5,-0.4,-1.0,-0.9,3.1,0.6,1.3,1.6,1.1,2.8,1.8,1.8,2.3
"34000","New Jersey",1.8,3.5,5.4,0.7,2.2,2.6,1.6,1.2,2.1,0.5,1.2,-4.1,1.1,-1.1,1.7,0.7,0.5,1.8,0.9,0.7,2.2
"35000","New Mexico",-0.5,5.4,1.8,0.1,3.1,3.8,7.4,1.2,2.5,0.7,-0.6,2.0,-0.8,0.2,0.5,-1.3,3.2,2.2,0.1,0.1,2.5
"36000","New York",2.0,5.2,3.8,2.2,-0.9,0.3,2.5,3.4,2.5,0.2,-2.3,4.1,3.8,0.0,4.2,-0.2,2.3,1.7,1.3,2.1,1.2
"37000","North Carolina",3.1,5.6,3.0,1.8,1.3,2.3,3.8,4.8,6.2,0.9,2.4,-4.4,1.5,1.3,0.1,1.3,2.2,3.2,1.2,2.1,2.4
"38000","North Dakota",5.7,0.1,3.8,1.7,5.4,6.2,1.0,3.0,4.0,4.6,7.9,2.6,7.6,11.3,22.4,2.3,7.6,-2.9,-7.0,0.0,3.6
"39000","Ohio",3.4,2.3,2.0,-1.4,2.6,1.5,2.2,1.8,-0.5,0.0,-0.8,-5.2,2.3,3.4,0.4,1.8,3.8,1.5,0.8,1.6,1.9
"40000","Oklahoma",2.1,1.6,3.7,3.7,1.8,1.5,3.3,4.1,6.7,1.8,3.8,-1.3,0.0,3.7,5.0,2.4,5.7,4.3,-3.0,0.8,2.6
"41000","Oregon",4.8,2.2,8.6,-0.8,2.2,4.2,5.0,3.7,6.0,1.9,1.7,-4.2,1.4,2.9,0.4,0.8,3.4,5.6,4.7,3.8,3.8
"42000","Pennsylvania",2.6,3.0,2.6,1.4,1.0,2.2,2.8,1.7,0.7,3.4,1.9,-2.9,2.8,1.4,1.6,1.6,2.3,2.2,1.3,0.6,2.6
"44000","Rhode Island",4.1,3.3,4.8,1.5,3.7,3.7,4.5,1.4,2.3,-2.7,-3.1,-0.5,2.5,-0.4,0.7,0.9,0.1,1.8,0.0,-0.2,1.2
"45000","South Carolina",3.9,4.6,2.7,0.4,2.4,3.5,1.3,2.7,2.3,2.8,-0.3,-4.4,2.0,2.3,0.7,2.0,2.6,3.5,2.9,3.3,2.6
"46000","South Dakota",5.9,4.0,6.9,1.2,10.8,2.1,4.2,2.4,1.5,4.4,4.2,0.2,1.0,6.6,1.5,0.4,1.3,2.9,0.5,-0.1,1.9
"47000","Tennessee",6.1,3.0,1.2,-0.2,3.4,3.0,4.6,2.0,2.6,-1.0,1.2,-3.3,1.4,3.0,3.2,1.1,1.7,3.4,2.1,1.9,3.1
"48000","Texas",6.4,4.0,3.4,2.4,1.9,0.6,5.2,2.7,6.8,5.3,0.1,-0.3,2.4,3.2,5.0,4.3,3.5,4.8,0.2,2.9,4.0
"49000","Utah",6.2,4.1,3.6,1.5,1.9,2.0,5.2,6.3,8.8,4.9,-0.8,-2.2,2.1,3.0,1.3,2.5,3.2,4.1,4.0,3.9,3.7
"50000","Vermont",3.4,5.5,5.4,3.0,3.1,3.5,5.0,1.3,0.8,-1.2,2.4,-1.6,4.1,2.2,0.5,-1.3,0.1,1.3,1.6,0.1,1.2
"51000","Virginia",5.2,4.7,4.2,3.6,1.0,3.8,4.6,5.5,2.1,0.8,-0.3,-0.1,2.7,1.0,0.8,0.4,-0.2,2.0,0.4,1.8,2.6
"53000","Washington",6.4,7.3,0.6,-2.3,1.7,1.9,1.8,6.6,3.9,6.0,1.1,-2.5,2.3,1.7,3.4,2.6,3.6,4.4,3.5,5.2,5.8
"54000","West Virginia",1.6,3.3,-0.2,-0.1,1.3,0.1,1.4,2.9,1.4,0.1,2.1,-0.5,1.3,1.8,-0.4,1.1,-0.4,-0.2,-1.2,1.5,2.3
"55000","Wisconsin",3.8,4.2,3.0,1.3,2.1,2.9,3.3,2.4,1.6,0.5,-1.2,-2.8,3.0,2.1,1.5,0.7,2.1,1.8,1.2,1.3,2.4
"56000","Wyoming",2.4,3.8,3.3,5.5,2.2,2.5,3.0,5.0,13.3,7.5,5.7,-2.9,-3.8,-1.0,-2.4,0.2,0.6,2.6,-4.2,-0.1,0.1
"91000","New England",3.8,4.4,7.3,1.3,1.0,2.3,4.0,1.8,2.4,2.1,0.2,-2.1,2.5,0.6,1.4,-0.2,0.8,2.9,1.2,1.6,2.2
"92000","Mideast",2.5,4.3,3.8,2.0,0.6,1.5,2.8,2.6,1.9,1.0,-0.2,0.3,3.0,0.5,2.5,0.3,1.9,1.9,1.3,1.3,1.8
"93000","Great Lakes",3.4,3.7,2.9,-1.1,1.9,2.0,2.2,1.6,0.8,0.7,-2.1,-4.9,3.3,2.2,1.3,1.2,2.4,1.4,1.1,1.4,2.2
"94000","Plains",3.1,2.7,4.5,-0.1,2.3,3.5,3.4,2.6,1.5,2.1,1.3,-2.3,2.7,1.9,2.3,1.2,2.6,1.6,0.5,1.1,2.3
"95000","Southeast",4.6,4.6,2.4,1.4,2.3,3.3,4.5,4.6,2.7,0.2,-0.7,-3.5,1.9,0.6,0.8,1.1,1.8,2.6,1.7,2.4,2.6
"96000","Southwest",5.9,4.5,3.6,2.4,2.2,1.8,5.0,3.6,6.4,4.3,0.0,-1.5,1.8,3.0,4.4,3.4,3.4,4.3,0.4,2.7,3.9
"97000","Rocky Mountain",7.3,6.3,6.6,1.2,1.1,1.6,2.8,5.2,4.7,3.9,1.0,-2.4,1.0,1.5,1.1,2.7,3.6,4.1,2.3,3.5,3.3
"98000","Far West",6.0,6.9,6.6,-0.6,2.4,4.2,4.3,5.0,4.2,2.0,0.3,-3.8,1.6,1.7,2.4,2.9,3.7,4.8,3.0,4.3,4.3
"Legend / Footnotes:"
"Real GDP is in millions of chained 2012 dollars. Calculations are performed on unrounded data. Chained (2012) dollar series are calculated as the product of the chain-type quantity index and the 2012 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The difference between the United States and sum-of-states reflects federal military and civilian activity located overseas, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP."
"Last updated: November 7, 2019-- revised statistics for 2014-2018."
