"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"25000","Massachusetts",302806.1,314880.2,331704.6,359520.8,362434.1,364797.1,373814.3,383486.9,390792.3,397742.6,407973.8,412600.5,408061.8,424581.3,434723.5,444329.8,444865.8,453884.2,471135.3,478961.0,490839.8,506072.8
"26000","Michigan",397339.2,406292.8,429356.2,438277.0,423623.6,435250.4,443794.7,444198.2,450745.9,443308.3,441148.5,416701.8,380091.2,400941.4,411465.7,418857.4,424319.9,431510.9,442481.8,452268.8,459129.1,470529.2
"27000","Minnesota",211942.2,222970.6,230684.1,245982.4,246058.0,252414.3,263868.9,274712.9,282094.0,281970.3,283211.5,285792.2,275453.1,284863.9,290630.4,294296.6,300633.1,309239.2,313086.2,319129.9,325322.7,333919.5
"28000","Mississippi",83197.1,85332.7,87646.7,88143.0,87200.2,88124.5,91715.1,93651.0,95228.0,97748.3,100204.0,104386.2,99463.0,99983.6,98727.7,99614.6,99622.4,100118.3,100242.5,100656.5,101515.7,102837.4
"29000","Missouri",228292.6,232074.2,238360.9,246048.8,244407.0,246813.1,251788.1,257258.6,261530.1,263233.2,264382.0,270608.3,265310.1,269735.0,266725.8,268761.5,271902.1,273170.5,276700.4,275500.5,278191.9,284924.1
"30000","Montana",29169.4,30465.6,30598.1,31375.1,31650.5,32526.8,33842.9,35374.9,37077.1,38431.3,40378.8,40161.5,39337.4,40543.8,41473.1,42005.8,42433.8,43173.7,44871.4,44265.4,45029.2,46219.7
"31000","Nebraska",70721.8,72310.4,73883.7,76623.4,78258.0,79665.3,84119.5,86081.5,88893.9,91387.2,93387.5,93569.3,94050.0,97856.7,102332.7,102269.0,105038.2,107166.2,110325.7,110812.0,113110.4,114170.0
"32000","Nevada",90367.6,94946.7,101276.5,105343.7,106656.8,110020.4,115571.0,128884.5,139694.9,145209.4,144404.8,138863.3,127242.4,128827.2,129733.5,128043.0,128272.7,129999.9,135429.2,139295.5,143733.4,149779.9
"33000","New Hampshire",48425.1,51603.1,53058.4,56719.9,57432.7,59040.7,61610.3,63499.0,64356.4,65945.0,65697.9,65016.8,64449.6,66441.5,66840.1,67689.2,68800.2,69544.7,71511.1,72815.6,74118.8,75833.2
"34000","New Jersey",426187.4,433778.7,448808.1,473035.0,476507.7,487050.2,499694.9,507585.4,513498.7,524056.2,526814.4,533053.7,511149.6,516589.3,510928.5,519745.8,523334.2,525728.5,535299.2,539942.8,543530.1,555755.1
"35000","New Mexico",67446.3,67087.2,70715.9,71956.4,72052.6,74274.7,77132.1,82842.9,83825.0,85890.7,86511.1,85976.8,87667.4,87004.1,87166.3,87601.6,86506.0,89275.2,91200.8,91268.3,91343.6,93604.6
"36000","New York",976939.6,996663.2,1048059.2,1088004.8,1112238.7,1102140.1,1104937.1,1132504.2,1171051.0,1199903.8,1202725.8,1175470.9,1223229.4,1269486.5,1269244.9,1322447.9,1319298.5,1349268.1,1372162.8,1389680.6,1418942.0,1435636.2
"37000","North Carolina",316366.3,326225.4,344425.2,354846.4,361354.5,366035.1,374503.2,388699.7,407491.4,432588.9,436437.2,446920.3,427107.8,433404.3,439088.5,439571.0,445361.4,455046.2,469478.8,475339.0,485498.6,497331.3
"38000","North Dakota",22410.8,23681.6,23704.9,24598.2,25017.3,26370.3,27993.9,28266.6,29106.8,30261.5,31667.5,34154.6,35043.2,37696.5,41942.3,51345.1,52530.8,56522.9,54901.6,51036.3,51014.7,52873.0
"39000","Ohio",471885.5,487904.2,499060.3,508991.7,501815.4,514752.0,522648.9,534358.7,543744.7,541179.6,541411.2,537199.7,509215.7,521094.7,538703.3,540819.3,550800.0,571911.6,580414.1,585088.9,594315.2,605394.6
"40000","Oklahoma",115413.5,117867.2,119724.8,124110.5,128721.1,131078.3,133084.3,137435.8,143072.5,152659.0,155464.7,161361.4,159235.6,159226.5,165153.0,173483.7,177601.6,187739.1,195902.1,190109.7,191544.2,196524.6
"41000","Oregon",118539.2,124170.8,126883.5,137802.0,136687.5,139698.1,145584.9,152797.8,158462.8,167912.2,171113.5,173955.1,166653.2,169015.8,173883.1,174493.1,175805.1,181861.0,191999.0,200948.2,208625.8,216561.5
"42000","Pennsylvania",495813.9,508483.9,523565.3,537224.0,544790.8,550247.0,562435.7,578033.8,588054.9,592030.3,612017.6,623821.3,605496.7,622466.7,631371.8,641317.3,651318.9,666494.4,681234.6,689844.4,693675.6,711822.2
"44000","Rhode Island",40158.5,41788.5,43175.7,45246.1,45917.5,47611.1,49374.3,51583.2,52316.3,53518.2,52087.4,50447.1,50213.6,51467.5,51269.1,51642.0,52084.6,52134.2,53096.5,53090.7,52989.3,53624.9
"45000","South Carolina",134908.0,140139.3,146525.5,150501.3,151105.2,154698.0,160138.4,162237.9,166573.9,170339.0,175090.1,174584.2,166849.7,170166.5,174127.9,175374.8,178940.4,183561.9,189899.8,195459.6,201872.6,207202.6
"46000","South Dakota",24976.1,26452.1,27500.8,29406.8,29746.2,32958.4,33657.3,35071.4,35907.3,36459.0,38057.4,39643.2,39731.9,40129.8,42793.5,43444.6,43602.2,44153.0,45442.6,45685.5,45618.9,46490.5
